,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
149,149,6,100,Simultaneous,1500,0,33.95162053136737,0.0,33.95162053136737
150,150,6,100,Simultaneous,1750,2153,800.0,153.746242733651,646.253757266349
151,151,6,100,Simultaneous,2000,2110,800.0,163.53412279680927,636.4658772031908
152,152,6,100,Simultaneous,2250,1965,800.0,64.00869619062371,735.9913038093763
153,153,6,100,Simultaneous,2500,2500,800.0,800.0,0.0
154,154,7,100,Random,0,0,0.0,0.0,0.0
155,155,7,100,Random,250,2496,800.0,409.44626890983676,390.55373109016324
156,156,7,100,Random,500,2495,800.0,481.420482332348,318.579517667652
157,157,7,100,Random,750,2455,800.0,317.9242687793941,482.0757312206059
158,158,7,100,Random,1000,2433,799.0,193.74475975107273,605.2552402489273
159,159,7,100,Random,1250,2406,800.0,343.37743318311664,456.62256681688336
160,160,7,100,Random,1500,0,56.53333333333333,0.0,56.53333333333333
161,161,7,100,Random,1750,2480,801.154003407155,367.380145557401,433.77385784975394
162,162,7,100,Random,2000,0,58.37545415073609,0.0,58.37545415073609
163,163,7,100,Random,2250,0,54.31095479986793,0.0,54.31095479986793
164,164,7,100,Random,2500,2500,800.0,800.0,0.0
165,165,7,100,Simultaneous,0,0,0.0,0.0,0.0
166,166,7,100,Simultaneous,250,0,9.333333333333334,0.0,9.333333333333334
167,167,7,100,Simultaneous,500,0,10.419112627986348,0.0,10.419112627986348
168,168,7,100,Simultaneous,750,0,65.8300066223795,0.0,65.8300066223795
169,169,7,100,Simultaneous,1000,0,162.55533766403906,0.0,162.55533766403906
170,170,7,100,Simultaneous,1250,58,797.0,0.0,797.0
171,171,7,100,Simultaneous,1500,2113,800.0,35.85655338573204,764.143446614268
172,172,7,100,Simultaneous,1750,2096,800.0,83.62528778292054,716.3747122170795
173,173,7,100,Simultaneous,2000,1959,800.0,59.42560368084812,740.5743963191519
174,174,7,100,Simultaneous,2250,1876,800.0,13.283385779902842,786.7166142200972
